"","dem_age","dem_gender","dem_ethnicity","dem_employment","dem_education","car_ownership","bikeshare_use","dest_parking","cycling_frequ","cycling_history","escort","route_change","leave_cycleway","perception_safety_all","perception_speed_all","perception_stress_all","x_purpose_work","x_purpose_leisure","x_purpose_multi.mode","x_purpose_other","x_purpose_education","x_safety_gear_0","x_safety_gear_1","x_safety_gear_4","x_leave_reason_NA","x_leave_reason_cyclists","x_leave_reason_trafficlight","x_leave_reason_roadquality","x_leave_reason_pedestrians","x_leave_reason_other","x_leave_reason_intersection","x_stress_source_car","x_stress_source_intersection","x_stress_source_cyclist","x_stress_source_bus","x_stress_source_pedestrian","x_primary_purpose_work","x_primary_purpose_leisure","x_primary_purpose_shopping","x_primary_purpose_other","x_primary_purpose_social","x_primary_purpose_education","x_primary_purpose_hobby","x_primary_purpose_multi.mode","idx_2nd_purposes","idx_gear","idx_leave_reason_infrastructure"
"1",5,1,1,2,4,2,1,2,3,5,2,2,0,2,2,-2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.145833333333333,0
"2",4,1,1,NA,4,2,1,2,2,5,0,2,0,2,-1,-2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.125,0.0277777777777778,0
"3",3,1,1,2,4,2,1,2,2,5,2,0,1,2,-1,-1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.125,0.152777777777778,0
"4",2,0,1,2,4,0,1,1,3,3,0,1,0,NA,NA,NA,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.375,0.0347222222222222,0.25
"5",3,0,1,2,4,2,0,2,3,5,0,0,1,-1,-1,-1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.270833333333333,0.25
"6",5,1,1,2,4,3,0,2,2,5,0,0,0,2,-1,-1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.125,0.166666666666667,0
"7",3,1,1,2,4,2,0,0,2,5,0,2,0,2,-1,-2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.1875,0.277777777777778,0
"8",3,1,1,1,4,0,0,1,2,5,0,2,1,-1,-2,-1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.375,0.0416666666666667,0
"9",4,0,1,2,4,1,0,2,3,5,0,0,0,2,2,-2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.125,0.159722222222222,0
"10",4,1,1,2,4,2,1,2,3,5,2,0,1,2,-2,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.3125,0.152777777777778,0
"11",3,0,1,2,4,2,1,2,3,5,2,0,0,-1,-2,-2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.1875,0.0416666666666667,0
"12",2,1,1,2,4,3,1,1,3,5,0,0,1,2,-2,-2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.145833333333333,0.5
"13",4,1,1,2,4,3,1,2,2,5,2,1,0,NA,NA,NA,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.1875,0.270833333333333,0.5
"14",6,1,1,0,4,2,0,1,3,5,0,0,0,2,-1,-2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.3125,0.277777777777778,0
"15",4,0,1,2,4,1,1,1,3,5,0,0,1,-1,-2,-1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.375,0.159722222222222,0.25
"16",4,0,1,2,4,2,0,1,3,5,2,2,1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.3125,0.152777777777778,0.25
"17",5,1,1,0,4,2,0,2,3,5,0,0,1,-1,-2,-1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.5625,0.138888888888889,0.5
"18",2,0,1,2,4,3,0,1,0,NA,0,1,0,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,0.159722222222222,0
"19",3,1,1,2,4,0,1,2,1,5,0,2,1,-1,-2,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.375,0.152777777777778,0.25
"20",2,1,1,2,4,2,0,2,2,5,0,2,0,2,2,-2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.3125,0.0347222222222222,0
"21",6,1,1,NA,4,2,0,NA,2,5,0,2,0,2,-2,-1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,0.159722222222222,0
"22",3,0,1,2,4,0,0,1,3,5,2,2,0,2,-2,-2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.5625,0.0486111111111111,0
"23",5,0,1,1,4,2,0,0,3,4,0,3,1,2,2,-2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.277777777777778,0
"24",3,0,1,2,4,3,0,0,2,5,2,3,0,2,-1,-2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,NA,0
"25",4,0,1,2,4,2,0,2,3,5,2,0,1,2,-1,-1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.4375,0.152777777777778,0
"26",3,1,1,2,4,3,0,1,3,3,0,0,0,-1,-1,-1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.375,0.0416666666666667,0
"27",2,1,1,2,4,0,0,2,0,NA,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,0.0347222222222222,0
"28",4,1,1,2,4,2,0,2,0,NA,2,2,0,2,2,-2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.125,0.263888888888889,0
"29",3,1,1,2,4,3,1,1,2,5,2,0,0,2,-1,-2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.3125,0.0347222222222222,0
"30",1,0,1,1,3,2,0,2,3,5,0,0,0,2,2,-2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.25,0.0416666666666667,0
"31",3,1,1,2,4,0,1,1,2,5,0,0,0,-1,-2,-1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.3125,0.166666666666667,0
"32",4,1,1,2,4,2,1,1,3,5,2,0,1,-1,-2,-2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.625,0.152777777777778,0
"33",3,1,0,2,4,2,0,2,2,1,0,3,0,-1,-2,-1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.1875,0.277777777777778,0
"34",2,1,0,2,4,0,0,2,3,5,0,0,1,-1,-1,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.375,0.0416666666666667,0.25
"35",2,1,1,2,4,2,0,0,2,5,0,3,1,-1,-2,-2,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.625,0.159722222222222,0.25
"36",3,1,1,2,4,2,0,2,1,5,2,0,0,2,2,-2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.125,0.277777777777778,0
"37",2,1,1,2,4,1,1,2,3,4,0,0,0,2,2,-2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.3125,0.270833333333333,0
"38",2,1,1,2,4,2,1,2,2,5,0,0,0,-1,-2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.125,0.152777777777778,0
"39",2,1,1,2,4,3,1,2,3,5,0,3,1,2,-1,-2,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.4375,0.0347222222222222,0
"40",2,1,1,2,4,2,1,1,0,NA,0,1,0,NA,NA,NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.125,0.00694444444444444,0
"41",4,1,1,2,4,2,0,1,2,2,0,3,0,2,-1,-2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.3125,0.0416666666666667,0
"42",2,1,1,2,3,0,1,2,3,5,0,0,0,2,-2,-2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.4375,0.145833333333333,0
"43",2,1,1,2,4,2,0,2,1,5,0,2,0,-2,-1,-2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.4375,0.0416666666666667,0
"44",1,1,1,1,3,0,1,2,3,4,0,2,1,2,-1,-1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.3125,0.0416666666666667,0
"45",3,0,1,2,4,2,0,2,2,5,0,0,0,2,-2,-1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.4375,0.152777777777778,0
"46",4,1,1,2,4,2,0,1,3,5,0,0,1,-1,-1,-1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.3125,0.0416666666666667,0.5
"47",2,1,1,2,4,1,0,2,3,4,0,1,1,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.3125,0.0416666666666667,0
"48",3,0,1,2,4,0,0,2,0,NA,0,0,1,-1,-1,-1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.125,0.270833333333333,0
"49",2,1,1,2,4,3,0,2,2,5,0,0,0,2,-1,-1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.4375,0.277777777777778,0
"50",3,1,1,2,4,2,0,2,2,5,2,0,1,-1,-1,-1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.3125,0.270833333333333,0
"51",3,1,1,2,4,2,0,2,1,5,2,0,0,-1,-1,-2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.25,0.270833333333333,0
"52",2,1,0,NA,4,0,1,1,3,1,0,1,1,NA,NA,NA,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.3125,0.00694444444444444,0.5
"53",3,1,1,2,4,1,1,2,3,5,0,0,0,2,-1,-1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.145833333333333,0
"54",4,1,1,2,4,0,1,2,2,5,0,2,1,2,-2,-2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0.270833333333333,0
"55",3,1,1,2,4,2,0,2,1,5,0,0,1,2,-1,-2,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,0.277777777777778,0
"56",2,1,1,2,4,2,0,2,2,4,0,0,1,-2,-2,-1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.1875,0.159722222222222,0
"57",2,1,1,2,4,2,1,2,2,5,0,0,0,-1,-2,-1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.125,0.270833333333333,0
"58",5,NA,1,2,4,2,0,2,0,NA,0,0,0,-1,-1,-2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.125,0.256944444444444,0.5
"59",3,1,1,2,4,2,1,2,1,1,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,0.0208333333333333,0
"60",2,0,1,2,4,2,0,2,2,5,0,3,1,-1,-1,-1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.3125,0.0416666666666667,0.25
"61",3,1,1,2,4,2,0,2,3,5,0,0,1,-2,-2,-1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.3125,0.152777777777778,0
"62",2,0,1,2,4,2,1,2,3,4,0,2,1,2,-1,-2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,0.270833333333333,0
"63",2,1,1,2,4,3,0,2,3,5,0,0,1,-1,-1,-1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.1875,0.152777777777778,0
"64",3,1,1,2,4,2,0,2,3,4,2,3,0,2,-1,-2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0.277777777777778,0
"65",3,1,1,2,3,1,0,2,3,4,0,0,0,2,-2,-1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0.277777777777778,0
"66",4,1,1,NA,4,1,0,2,3,5,0,1,1,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.1875,0.0416666666666667,0
"67",2,1,1,2,4,0,1,1,3,4,0,3,0,2,2,-1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0.00694444444444444,0
"68",3,1,1,2,4,3,0,2,1,5,0,0,1,-1,-2,-1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.125,0.152777777777778,0
"69",2,1,1,2,4,2,0,2,1,4,0,0,1,-1,-2,-1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0.270833333333333,0
"70",3,1,0,2,4,2,0,1,2,5,0,3,1,-2,-2,2,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,0.0416666666666667,0.25
"71",4,0,1,2,4,2,1,2,3,5,0,2,0,2,-1,-2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.4375,0.145833333333333,0
"72",2,1,1,2,4,0,1,1,2,3,0,0,1,2,-1,-1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.4375,0.0277777777777778,0
"73",2,1,1,2,4,0,0,2,2,3,0,3,1,-1,-1,-1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.159722222222222,0
"74",3,1,1,2,4,2,0,2,3,5,2,0,1,-1,-1,-1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0.152777777777778,0
"75",2,1,1,2,4,2,0,2,3,4,0,1,0,NA,NA,NA,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.145833333333333,0
"76",3,0,1,2,4,2,0,2,2,5,0,0,0,2,-1,-1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.3125,0.145833333333333,0
"77",3,0,1,1,3,0,1,0,1,1,0,1,0,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,0.00694444444444444,0.25
"78",2,1,1,2,4,2,1,1,2,5,0,2,0,2,-2,-1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.159722222222222,0.25
"79",3,1,1,0,4,2,0,NA,1,5,0,0,0,-1,-2,-2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,0.0347222222222222,0
"80",2,1,1,2,4,3,1,2,3,4,0,3,1,2,-1,-2,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.5625,0.0347222222222222,0.25
"81",4,1,1,2,4,2,0,2,2,5,0,2,1,2,-1,-1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.125,0.159722222222222,0.25
"82",2,1,1,2,4,2,0,2,3,3,2,3,0,-1,-1,-1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.1875,0.0138888888888889,0.25
"83",1,0,1,2,4,0,0,2,3,2,0,1,0,NA,NA,NA,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.375,0.0277777777777778,0.25
"84",3,1,1,2,4,3,0,2,2,5,0,0,1,-1,-1,-1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0.277777777777778,0.5
"85",4,1,1,2,4,2,1,1,2,5,2,0,0,2,-1,-1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.375,0.159722222222222,0
"86",4,1,1,2,4,2,0,NA,2,5,0,0,1,-1,-2,-2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.1875,0.270833333333333,0.5
"87",4,1,1,2,4,2,1,2,3,5,2,2,1,2,-1,-2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.5,0.270833333333333,0.25
"88",1,1,1,2,4,0,0,2,2,5,0,2,1,2,-1,-2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,0.0486111111111111,0
"89",2,1,0,2,4,2,1,1,1,4,0,1,1,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.4375,0.118055555555556,0.5
"90",3,1,1,2,4,0,0,2,3,5,0,0,0,-2,-2,-2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.25,0.152777777777778,0
"91",4,1,1,2,4,2,1,2,1,5,0,0,0,-1,-1,-1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.4375,0.145833333333333,0
"92",4,0,1,2,NA,3,0,2,3,5,0,0,0,-1,-1,-1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,0.159722222222222,0
